Time,PopAltamira,PopTucurui,ShutAltamira,ShutTucurui,AdmAltamira,AdmTucurui,StkAltamira,StkTucurui,AltamiraIll,Altamira5thGIn,Altamira5thGI,AltamiraIncPriEd,AltamiraComPriEd,AltamiraIncHS,AltamiraComHS,AltamiraIncHE,AltamiraComHE,TucuruiIll,Tucurui5thGIn,Tucurui5thGI,TucuruiIncPriEd,TucuruiComPriEd,TucuruiIncHS,TucuruiComHS,TucuruiIncHE,TucuruiComHE,AltamiraZero,AltamiraOneThree,AltamiraThreeSix,AltamiraSixTwelve,AltamiraTwelveTwentyFour,AltamiraTwentyFourThirtySix,AltamiraThirtySixSixty,AltamiraSixtyOHTwenty,AltamiraOHTwentyMore,TucuruiZero,TucuruiOneThree,TucuruiThreeSix,TucuruiSixTwelve,TucuruiTwelveTwentyFour,TucuruiTwentyFourThirtySix,TucuruiThirtySixSixty,TucuruiSixtyOHTwenty,TucuruiOHTwentyMore,VarStkAltamira,VarStkTucurui,EmpRateAltamira,EmpRateTucurui,AdmRateAltamira,AdmRateTucurui,ShutRateAltamira,ShutRateTucurui,TurnoverAltamira,TurnoverTucurui
2004-02-01,83418,83839,4,130,15,10,123,2843,0,0,0,6,10,3,0,0,0,19,2,26,37,23,14,20,16,0,15,1,2,1,0,0,0,0,0,19,10,2,5,6,26,23,56,9,NA,NA,0.0014745019060634396,0.03391023270792829,0.12195121951219512,0.0035174111853675696,0.032520325203252036,0.0457263454097784,NA,NA
2004-03-01,83515,83990,35,52,12,36,124,2844,3,4,6,14,13,4,3,0,0,47,2,14,13,23,8,11,16,0,12,1,12,6,3,1,11,0,0,46,36,1,2,7,13,9,13,6,0.008130081300813009,3.5174111853675694e-4,0.0014847632161887087,0.03386117394927968,0.0967741935483871,0.012658227848101266,0.28225806451612906,0.01828410689170183,0.0967741935483871,0.012658227848101266
2004-04-01,83612,84141,21,55,23,63,125,2845,2,3,7,10,12,2,6,1,1,44,1,15,35,27,15,8,17,0,23,3,8,6,4,0,0,0,0,44,63,9,0,5,6,11,12,5,0.008064516129032258,3.5161744022503517e-4,0.0014950007176003444,0.033812291272982256,0.184,0.022144112478031636,0.168,0.019332161687170474,0.168,0.019332161687170474
2004-05-01,83709,84292,29,162,11,59,126,2846,7,4,2,15,7,1,4,0,0,40,0,32,47,46,25,21,32,1,11,6,5,16,1,0,1,0,0,40,59,19,1,13,30,32,36,29,0.008,3.51493848857645e-4,0.0015052144930652617,0.03376358373273858,0.0873015873015873,0.02073085031623331,0.23015873015873015,0.05692199578355587,0.0873015873015873,0.02073085031623331
2004-06-01,83806,84443,17,90,10,69,127,2847,3,0,2,14,3,1,4,0,0,27,1,19,19,55,20,14,30,1,10,7,5,2,0,0,3,0,0,27,69,9,1,4,22,10,34,8,0.007936507936507936,3.5137034434293746e-4,0.0015154046249671862,0.03371505038901981,0.07874015748031496,0.02423603793466807,0.13385826771653545,0.03161222339304531,0.07874015748031496,0.02423603793466807
2004-07-01,83903,84594,16,36,12,324,128,2848,2,0,2,7,13,2,1,0,1,28,7,93,38,109,36,28,47,0,12,4,8,3,1,0,0,0,0,28,324,9,6,4,7,2,4,1,0.007874015748031496,3.5124692658939234e-4,0.0015255711953088686,0.03366669030900537,0.09375,0.11376404494382023,0.125,0.012640449438202247,0.09375,0.012640449438202247
2004-08-01,84000,84744,11,66,14,536,129,2849,0,1,0,4,17,1,2,0,0,25,6,252,72,108,46,28,88,0,14,4,4,3,0,0,0,0,0,25,536,6,11,2,5,8,22,9,0.0078125,3.5112359550561797e-4,0.0015357142857142857,0.03361889927310488,0.10852713178294573,0.18813618813618813,0.08527131782945736,0.023166023166023165,0.08527131782945736,0.023166023166023165
2004-09-01,84097,84895,21,99,20,215,130,2850,2,1,3,18,12,2,3,0,0,41,2,85,30,77,47,17,54,0,20,5,5,10,1,0,0,0,0,41,215,53,8,8,12,8,6,2,0.007751937984496124,3.51000351000351e-4,0.001545833977430824,0.03357088167736616,0.15384615384615385,0.07543859649122807,0.16153846153846155,0.034736842105263156,0.15384615384615385,0.034736842105263156
2004-10-01,84194,85046,6,57,9,350,131,2851,0,0,0,9,4,0,1,1,0,15,2,91,63,103,64,16,65,0,9,2,1,3,0,0,0,0,0,15,350,18,12,5,4,11,6,1,0.007692307692307693,3.508771929824561e-4,0.0015559303513314488,0.03352303459304377,0.06870229007633588,0.12276394247632409,0.04580152671755725,0.01999298491757278,0.04580152671755725,0.01999298491757278
2004-11-01,84291,85197,17,116,10,227,132,2852,3,0,0,17,2,3,2,0,0,27,2,69,68,90,37,27,48,0,10,3,2,10,0,0,0,0,0,25,227,53,27,3,9,12,6,4,0.007633587786259542,3.5075412136092597e-4,0.0015660034879168595,0.03347535711351338,0.07575757575757576,0.07959326788218794,0.12878787878787878,0.04067321178120617,0.07575757575757576,0.04067321178120617
